[2026-05-04 10:31:08] Received on robot/coral: {'frame': 20941, 'bboxes': []}
[2026-05-04 10:31:08] Received on robot/coral: {'frame': 20942, 'bboxes': []}
[2026-05-04 10:31:08] Received on robot/coral: {'frame': 20944, 'bboxes': []}
[2026-05-04 10:31:08] Received on robot/coral: {'frame': 20945, 'bboxes': []}
[2026-05-04 10:31:08] Received on robot/coral: {'frame': 20946, 'bboxes': []}
[2026-05-04 10:31:08] Received on robot/coral: {'frame': 20947, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20948, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20949, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20950, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20951, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20952, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20953, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20954, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20955, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20956, 'bboxes': []}
[2026-05-04 10:31:09] Received on robot/coral: {'frame': 20957, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20958, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20959, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20960, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20961, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20962, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20963, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20964, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20965, 'bboxes': []}
[2026-05-04 10:31:10] Received on robot/coral: {'frame': 20966, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20967, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20968, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20969, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20970, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20971, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20972, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20973, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20974, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20975, 'bboxes': []}
[2026-05-04 10:31:11] Received on robot/coral: {'frame': 20976, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20977, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20978, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20979, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20980, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20981, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20982, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20983, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20984, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20985, 'bboxes': []}
[2026-05-04 10:31:12] Received on robot/coral: {'frame': 20986, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20987, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20988, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20989, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20990, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20991, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20992, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20993, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20994, 'bboxes': []}
[2026-05-04 10:31:13] Received on robot/coral: {'frame': 20995, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 20996, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 20997, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 20998, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 20999, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 21000, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 21001, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 21002, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 21003, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 21004, 'bboxes': []}
[2026-05-04 10:31:14] Received on robot/coral: {'frame': 21005, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21006, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21007, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21008, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21009, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21010, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21011, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21012, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21013, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21014, 'bboxes': []}
[2026-05-04 10:31:15] Received on robot/coral: {'frame': 21015, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21016, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21017, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21018, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21019, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21020, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21021, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21022, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21023, 'bboxes': []}
[2026-05-04 10:31:16] Received on robot/coral: {'frame': 21024, 'bboxes': []}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21025, 'bboxes': []}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21026, 'bboxes': []}
